,holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,year,month,day,hour,traffic_volume
40255,New Years Day,249.36,0.0,0.0,1,Clear,sky is clear,2018-01-01 00:00:00,2018,1,1,00:00,1478
40256,None,249.08,0.0,0.0,1,Clear,sky is clear,2018-01-01 01:00:00,2018,1,1,01:00,1408
40257,None,248.86,0.0,0.0,1,Clear,sky is clear,2018-01-01 02:00:00,2018,1,1,02:00,931
40258,None,248.72,0.0,0.0,1,Clear,sky is clear,2018-01-01 03:00:00,2018,1,1,03:00,585
40259,None,248.43,0.0,0.0,1,Clear,sky is clear,2018-01-01 04:00:00,2018,1,1,04:00,381
40260,None,248.07,0.0,0.0,1,Clear,sky is clear,2018-01-01 05:00:00,2018,1,1,05:00,434
40261,None,248.15,0.0,0.0,1,Clear,sky is clear,2018-01-01 06:00:00,2018,1,1,06:00,686
40262,None,247.76,0.0,0.0,1,Clear,sky is clear,2018-01-01 07:00:00,2018,1,1,07:00,677
40263,None,247.45,0.0,0.0,5,Clear,sky is clear,2018-01-01 08:00:00,2018,1,1,08:00,811
40264,None,247.43,0.0,0.0,1,Clear,sky is clear,2018-01-01 09:00:00,2018,1,1,09:00,1122
40265,None,248.91,0.0,0.0,1,Clear,sky is clear,2018-01-01 10:00:00,2018,1,1,10:00,1738
40266,None,250.65,0.0,0.0,1,Clear,sky is clear,2018-01-01 11:00:00,2018,1,1,11:00,2421
40267,None,251.99,0.0,0.0,1,Clear,sky is clear,2018-01-01 12:00:00,2018,1,1,12:00,2908
40268,None,253.29,0.0,0.0,1,Clear,sky is clear,2018-01-01 13:00:00,2018,1,1,13:00,2985
40269,None,254.79,0.0,0.0,5,Clear,sky is clear,2018-01-01 14:00:00,2018,1,1,14:00,3214
40270,None,255.46,0.0,0.0,1,Clear,sky is clear,2018-01-01 15:00:00,2018,1,1,15:00,3410
40271,None,255.79,0.0,0.0,5,Clear,sky is clear,2018-01-01 16:00:00,2018,1,1,16:00,3290
40272,None,255.15,0.0,0.0,1,Clear,sky is clear,2018-01-01 17:00:00,2018,1,1,17:00,3079
40273,None,253.86,0.0,0.0,5,Clear,sky is clear,2018-01-01 18:00:00,2018,1,1,18:00,2891
40274,None,253.31,0.0,0.0,1,Clear,sky is clear,2018-01-01 19:00:00,2018,1,1,19:00,2199
40275,None,252.43,0.0,0.0,5,Clear,sky is clear,2018-01-01 20:00:00,2018,1,1,20:00,1738
40276,None,251.72,0.0,0.0,1,Clear,sky is clear,2018-01-01 21:00:00,2018,1,1,21:00,1555
40277,None,251.53,0.0,0.0,1,Clear,sky is clear,2018-01-01 22:00:00,2018,1,1,22:00,1213
40278,None,251.0,0.0,0.0,1,Clear,sky is clear,2018-01-01 23:00:00,2018,1,1,23:00,830
40279,None,251.14,0.0,0.0,1,Clear,sky is clear,2018-01-02 00:00:00,2018,1,2,00:00,477
40280,None,251.07,0.0,0.0,1,Mist,mist,2018-01-02 01:00:00,2018,1,2,01:00,279
40281,None,250.86,0.0,0.0,1,Clear,sky is clear,2018-01-02 02:00:00,2018,1,2,02:00,205
40282,None,250.86,0.0,0.0,1,Clear,sky is clear,2018-01-02 03:00:00,2018,1,2,03:00,299
40283,None,250.72,0.0,0.0,1,Clear,sky is clear,2018-01-02 04:00:00,2018,1,2,04:00,729
40284,None,250.43,0.0,0.0,1,Clear,sky is clear,2018-01-02 05:00:00,2018,1,2,05:00,2544
40285,None,250.38,0.0,0.0,1,Clear,sky is clear,2018-01-02 06:00:00,2018,1,2,06:00,4801
40286,None,249.93,0.0,0.0,5,Clear,sky is clear,2018-01-02 07:00:00,2018,1,2,07:00,5696
40287,None,250.01,0.0,0.0,1,Clear,sky is clear,2018-01-02 08:00:00,2018,1,2,08:00,4901
40288,None,250.3,0.0,0.0,1,Clear,sky is clear,2018-01-02 09:00:00,2018,1,2,09:00,4189
40289,None,252.5,0.0,0.0,1,Clear,sky is clear,2018-01-02 10:00:00,2018,1,2,10:00,4065
40290,None,255.43,0.0,0.0,75,Clouds,broken clouds,2018-01-02 11:00:00,2018,1,2,11:00,4172
40291,None,257.86,0.0,0.0,75,Clouds,broken clouds,2018-01-02 12:00:00,2018,1,2,12:00,4448
40292,None,260.64,0.0,0.0,90,Clouds,overcast clouds,2018-01-02 13:00:00,2018,1,2,13:00,4537
40293,None,261.72,0.0,0.0,90,Clouds,overcast clouds,2018-01-02 14:00:00,2018,1,2,14:00,4698
40294,None,262.15,0.0,0.0,1,Clear,sky is clear,2018-01-02 15:00:00,2018,1,2,15:00,5232
40295,None,262.29,0.0,0.0,90,Snow,light snow,2018-01-02 16:00:00,2018,1,2,16:00,5618
40296,None,262.29,0.0,0.0,90,Mist,mist,2018-01-02 16:00:00,2018,1,2,16:00,5618
40297,None,262.37,0.0,0.0,90,Snow,light snow,2018-01-02 17:00:00,2018,1,2,17:00,5178
40298,None,262.37,0.0,0.0,90,Mist,mist,2018-01-02 17:00:00,2018,1,2,17:00,5178
40299,None,262.45,0.0,0.0,90,Snow,light snow,2018-01-02 18:00:00,2018,1,2,18:00,3625
40300,None,262.45,0.0,0.0,90,Haze,haze,2018-01-02 18:00:00,2018,1,2,18:00,3625
40301,None,263.07,0.0,0.0,90,Snow,light snow,2018-01-02 19:00:00,2018,1,2,19:00,2669
40302,None,263.07,0.0,0.0,90,Mist,mist,2018-01-02 19:00:00,2018,1,2,19:00,2669
40303,None,263.29,0.0,0.0,90,Snow,light snow,2018-01-02 20:00:00,2018,1,2,20:00,2056
40304,None,263.53,0.0,0.0,90,Snow,light snow,2018-01-02 21:00:00,2018,1,2,21:00,2834
40305,None,262.94,0.0,0.0,90,Snow,light snow,2018-01-02 22:00:00,2018,1,2,22:00,2785
40306,None,262.48,0.0,0.0,90,Snow,light snow,2018-01-02 23:00:00,2018,1,2,23:00,1118
40307,None,261.79,0.0,0.0,90,Snow,light snow,2018-01-03 00:00:00,2018,1,3,00:00,599
40308,None,260.86,0.0,0.0,90,Haze,haze,2018-01-03 01:00:00,2018,1,3,01:00,353
40309,None,260.86,0.0,0.0,90,Snow,light snow,2018-01-03 01:00:00,2018,1,3,01:00,353
40310,None,260.06,0.0,0.0,90,Haze,haze,2018-01-03 02:00:00,2018,1,3,02:00,283
40311,None,258.72,0.0,0.0,40,Clouds,scattered clouds,2018-01-03 03:00:00,2018,1,3,03:00,358
40312,None,258.15,0.0,0.0,1,Clear,sky is clear,2018-01-03 04:00:00,2018,1,3,04:00,811
40313,None,257.0,0.0,0.0,1,Clear,sky is clear,2018-01-03 05:00:00,2018,1,3,05:00,2739
40314,None,256.58,0.0,0.0,1,Clear,sky is clear,2018-01-03 06:00:00,2018,1,3,06:00,5225
40315,None,255.93,0.0,0.0,40,Clouds,scattered clouds,2018-01-03 07:00:00,2018,1,3,07:00,6017
40316,None,255.43,0.0,0.0,5,Clear,sky is clear,2018-01-03 08:00:00,2018,1,3,08:00,5398
40317,None,255.23,0.0,0.0,1,Clear,sky is clear,2018-01-03 09:00:00,2018,1,3,09:00,5142
40318,None,256.08,0.0,0.0,5,Clear,sky is clear,2018-01-03 10:00:00,2018,1,3,10:00,4092
40319,None,256.23,0.0,0.0,40,Clouds,scattered clouds,2018-01-03 11:00:00,2018,1,3,11:00,4328
40320,None,257.29,0.0,0.0,40,Clouds,scattered clouds,2018-01-03 12:00:00,2018,1,3,12:00,4600
40321,None,257.93,0.0,0.0,40,Clouds,scattered clouds,2018-01-03 13:00:00,2018,1,3,13:00,4591
40322,None,258.38,0.0,0.0,20,Clouds,few clouds,2018-01-03 14:00:00,2018,1,3,14:00,4983
40323,None,258.46,0.0,0.0,5,Clear,sky is clear,2018-01-03 15:00:00,2018,1,3,15:00,5589
40324,None,258.46,0.0,0.0,5,Clear,sky is clear,2018-01-03 16:00:00,2018,1,3,16:00,6317
40325,None,257.44,0.0,0.0,5,Clear,sky is clear,2018-01-03 17:00:00,2018,1,3,17:00,5951
40326,None,256.22,0.0,0.0,5,Clear,sky is clear,2018-01-03 18:00:00,2018,1,3,18:00,4350
40327,None,255.72,0.0,0.0,5,Clear,sky is clear,2018-01-03 19:00:00,2018,1,3,19:00,3144
40328,None,254.82,0.0,0.0,5,Clear,sky is clear,2018-01-03 20:00:00,2018,1,3,20:00,2319
40329,None,254.22,0.0,0.0,5,Clear,sky is clear,2018-01-03 21:00:00,2018,1,3,21:00,2105
40330,None,253.62,0.0,0.0,1,Clear,sky is clear,2018-01-03 22:00:00,2018,1,3,22:00,1517
40331,None,253.51,0.0,0.0,1,Clear,sky is clear,2018-01-03 23:00:00,2018,1,3,23:00,991
40332,None,252.82,0.0,0.0,1,Clear,sky is clear,2018-01-04 00:00:00,2018,1,4,00:00,529
40333,None,253.22,0.0,0.0,90,Clouds,overcast clouds,2018-01-04 01:00:00,2018,1,4,01:00,343
40334,None,253.86,0.0,0.0,90,Clouds,overcast clouds,2018-01-04 02:00:00,2018,1,4,02:00,247
40335,None,253.86,0.0,0.0,40,Clouds,scattered clouds,2018-01-04 03:00:00,2018,1,4,03:00,325
40336,None,253.22,0.0,0.0,40,Clouds,scattered clouds,2018-01-04 04:00:00,2018,1,4,04:00,827
40337,None,252.72,0.0,0.0,1,Clear,sky is clear,2018-01-04 05:00:00,2018,1,4,05:00,2757
40338,None,252.14,0.0,0.0,1,Clear,sky is clear,2018-01-04 06:00:00,2018,1,4,06:00,5323
40339,None,252.72,0.0,0.0,40,Clouds,scattered clouds,2018-01-04 07:00:00,2018,1,4,07:00,6420
40340,None,252.14,0.0,0.0,90,Clouds,overcast clouds,2018-01-04 08:00:00,2018,1,4,08:00,4478
40341,None,253.38,0.0,0.0,90,Clouds,overcast clouds,2018-01-04 09:00:00,2018,1,4,09:00,4885
40342,None,253.85,0.0,0.0,75,Clouds,broken clouds,2018-01-04 10:00:00,2018,1,4,10:00,4259
40343,None,254.29,0.0,0.0,90,Clouds,overcast clouds,2018-01-04 11:00:00,2018,1,4,11:00,4446
40344,None,255.15,0.0,0.0,40,Clouds,scattered clouds,2018-01-04 12:00:00,2018,1,4,12:00,4738
40345,None,256.01,0.0,0.0,40,Clouds,scattered clouds,2018-01-04 13:00:00,2018,1,4,13:00,4656
40346,None,256.61,0.0,0.0,40,Clouds,scattered clouds,2018-01-04 14:00:00,2018,1,4,14:00,5094
40347,None,256.95,0.0,0.0,40,Clouds,scattered clouds,2018-01-04 15:00:00,2018,1,4,15:00,5442
40348,None,257.28,0.0,0.0,40,Clouds,scattered clouds,2018-01-04 16:00:00,2018,1,4,16:00,6450
40349,None,256.68,0.0,0.0,40,Clouds,scattered clouds,2018-01-04 17:00:00,2018,1,4,17:00,5993
40350,None,255.81,0.0,0.0,40,Clouds,scattered clouds,2018-01-04 18:00:00,2018,1,4,18:00,4377
40351,None,255.43,0.0,0.0,20,Clouds,few clouds,2018-01-04 19:00:00,2018,1,4,19:00,3071
40352,None,254.01,0.0,0.0,5,Clear,sky is clear,2018-01-04 20:00:00,2018,1,4,20:00,2646
40353,None,253.21,0.0,0.0,5,Clear,sky is clear,2018-01-04 21:00:00,2018,1,4,21:00,3933
40354,None,252.21,0.0,0.0,1,Clear,sky is clear,2018-01-04 22:00:00,2018,1,4,22:00,2422
40355,None,251.35,0.0,0.0,1,Clear,sky is clear,2018-01-04 23:00:00,2018,1,4,23:00,1185
40356,None,250.75,0.0,0.0,1,Clear,sky is clear,2018-01-05 00:00:00,2018,1,5,00:00,630
40357,None,249.88,0.0,0.0,1,Clear,sky is clear,2018-01-05 01:00:00,2018,1,5,01:00,379
40358,None,250.08,0.0,0.0,1,Clear,sky is clear,2018-01-05 02:00:00,2018,1,5,02:00,301
40359,None,249.79,0.0,0.0,1,Clear,sky is clear,2018-01-05 03:00:00,2018,1,5,03:00,335
40360,None,249.01,0.0,0.0,1,Clear,sky is clear,2018-01-05 04:00:00,2018,1,5,04:00,813
40361,None,249.65,0.0,0.0,1,Clear,sky is clear,2018-01-05 05:00:00,2018,1,5,05:00,2629
40362,None,249.54,0.0,0.0,1,Clear,sky is clear,2018-01-05 06:00:00,2018,1,5,06:00,5002
40363,None,249.38,0.0,0.0,5,Clear,sky is clear,2018-01-05 07:00:00,2018,1,5,07:00,5906
40364,None,248.79,0.0,0.0,5,Clear,sky is clear,2018-01-05 08:00:00,2018,1,5,08:00,4742
40365,None,249.0,0.0,0.0,1,Haze,haze,2018-01-05 09:00:00,2018,1,5,09:00,4704
40366,None,250.72,0.0,0.0,5,Clear,sky is clear,2018-01-05 10:00:00,2018,1,5,10:00,4279
40367,None,252.08,0.0,0.0,5,Clear,sky is clear,2018-01-05 11:00:00,2018,1,5,11:00,4566
40368,None,253.41,0.0,0.0,40,Clouds,scattered clouds,2018-01-05 12:00:00,2018,1,5,12:00,4989
40369,None,255.01,0.0,0.0,40,Clouds,scattered clouds,2018-01-05 13:00:00,2018,1,5,13:00,4968
40370,None,255.94,0.0,0.0,1,Clear,sky is clear,2018-01-05 14:00:00,2018,1,5,14:00,5315
40371,None,256.28,0.0,0.0,40,Clouds,scattered clouds,2018-01-05 15:00:00,2018,1,5,15:00,5867
40372,None,256.48,0.0,0.0,1,Clear,sky is clear,2018-01-05 16:00:00,2018,1,5,16:00,6504
40373,None,255.82,0.0,0.0,40,Clouds,scattered clouds,2018-01-05 17:00:00,2018,1,5,17:00,6185
40374,None,255.0,0.0,0.0,40,Clouds,scattered clouds,2018-01-05 18:00:00,2018,1,5,18:00,4611
40375,None,253.58,0.0,0.0,40,Clouds,scattered clouds,2018-01-05 19:00:00,2018,1,5,19:00,3652
40376,None,252.08,0.0,0.0,1,Clear,sky is clear,2018-01-05 20:00:00,2018,1,5,20:00,2880
40377,None,250.75,0.0,0.0,5,Clear,sky is clear,2018-01-05 21:00:00,2018,1,5,21:00,2815
40378,None,250.02,0.0,0.0,1,Clear,sky is clear,2018-01-05 22:00:00,2018,1,5,22:00,2978
40379,None,249.15,0.0,0.0,1,Clear,sky is clear,2018-01-05 23:00:00,2018,1,5,23:00,1805
40380,None,248.62,0.0,0.0,1,Clear,sky is clear,2018-01-06 00:00:00,2018,1,6,00:00,1003
40381,None,247.65,0.0,0.0,1,Mist,mist,2018-01-06 01:00:00,2018,1,6,01:00,673
40382,None,247.82,0.0,0.0,1,Mist,mist,2018-01-06 02:00:00,2018,1,6,02:00,483
40383,None,247.35,0.0,0.0,1,Clear,sky is clear,2018-01-06 03:00:00,2018,1,6,03:00,319
40384,None,247.15,0.0,0.0,1,Clear,sky is clear,2018-01-06 04:00:00,2018,1,6,04:00,383
40385,None,247.15,0.0,0.0,1,Clear,sky is clear,2018-01-06 05:00:00,2018,1,6,05:00,694
40386,None,247.08,0.0,0.0,1,Clear,sky is clear,2018-01-06 06:00:00,2018,1,6,06:00,1129
40387,None,247.21,0.0,0.0,5,Clear,sky is clear,2018-01-06 07:00:00,2018,1,6,07:00,1728
40388,None,247.62,0.0,0.0,5,Haze,haze,2018-01-06 08:00:00,2018,1,6,08:00,2487
40389,None,248.08,0.0,0.0,1,Mist,mist,2018-01-06 09:00:00,2018,1,6,09:00,3046
40390,None,251.07,0.0,0.0,20,Mist,mist,2018-01-06 10:00:00,2018,1,6,10:00,3593
40391,None,255.01,0.0,0.0,20,Clouds,few clouds,2018-01-06 11:00:00,2018,1,6,11:00,4092
40392,None,257.36,0.0,0.0,20,Clouds,few clouds,2018-01-06 12:00:00,2018,1,6,12:00,4506
40393,None,259.08,0.0,0.0,1,Clear,sky is clear,2018-01-06 13:00:00,2018,1,6,13:00,4501
40394,None,260.21,0.0,0.0,90,Clouds,overcast clouds,2018-01-06 14:00:00,2018,1,6,14:00,4857
40395,None,260.79,0.0,0.0,75,Clouds,broken clouds,2018-01-06 15:00:00,2018,1,6,15:00,4519
40396,None,261.15,0.0,0.0,40,Clouds,scattered clouds,2018-01-06 16:00:00,2018,1,6,16:00,4486
40397,None,260.93,0.0,0.0,1,Clear,sky is clear,2018-01-06 17:00:00,2018,1,6,17:00,4536
40398,None,260.93,0.0,0.0,90,Clouds,overcast clouds,2018-01-06 18:00:00,2018,1,6,18:00,3801
40399,None,260.88,0.0,0.0,90,Clouds,overcast clouds,2018-01-06 19:00:00,2018,1,6,19:00,3174
40400,None,261.28,0.0,0.0,90,Clouds,overcast clouds,2018-01-06 20:00:00,2018,1,6,20:00,2556
40401,None,261.41,0.0,0.0,90,Clouds,overcast clouds,2018-01-06 21:00:00,2018,1,6,21:00,2463
40402,None,261.75,0.0,0.0,75,Clouds,broken clouds,2018-01-06 22:00:00,2018,1,6,22:00,2801
40403,None,261.95,0.0,0.0,90,Snow,light snow,2018-01-06 23:00:00,2018,1,6,23:00,2089
40404,None,262.35,0.0,0.0,75,Snow,light snow,2018-01-07 00:00:00,2018,1,7,00:00,1053
